10,,,,promedio,desviacion
1.7,1.004987562,,10,2.67,0.519323196
2,0.774596669,,30,1.336666667,0.244188255
1.8,1.326649916,,50,2.166,2.551697362
2.3,1.004987562,,100,1.909,2.235956563
2.8,1.886796226,,200,1.2715,1.244672132
3.1,2.022374842,,500,1.9552,2.990857568
3,1.843908891,,1000,1.2455,1.439171691
3.2,1.6,,2000,1.8634,2.715501352
3.4,1.624807681,,,,
3.4,2.416609195,,,,
,,,,,
30,,,,,
1.166666667,0.58214164,,,,
1.366666667,0.604611905,,,,
1.2,0.702376917,,,,
1.333333333,0.699205899,,,,
1.333333333,0.64978629,,,,
1.333333333,0.64978629,,,,
1.433333333,1.174260997,,,,
1.366666667,0.70632067,,,,
1.433333333,0.88254682,,,,
1.4,1.280624847,,,,
,,,,,
50,,,,,
2.08,2.583331183,,,,
2.08,2.567800615,,,,
2,2.416609195,,,,
2.02,2.293381782,,,,
2.04,2.473539973,,,,
2.28,2.661127581,,,,
2.34,2.604688081,,,,
2.28,2.676116589,,,,
2.28,2.727929618,,,,
2.26,2.512449004,,,,
,,,,,
100,,,,,
1.76,2.04997561,,,,
1.82,2.299478202,,,,
1.92,2.21666416,,,,
1.92,2.248021352,,,,
1.93,2.214746035,,,,
1.95,2.192601195,,,,
1.91,2.337070816,,,,
1.93,2.30328027,,,,
1.97,2.165432982,,,,
1.98,2.332295007,,,,
,,,,,
200,,,,,
1.17,1.261388124,,,,
1.27,1.138902981,,,,
1.2,1.272792206,,,,
1.295,1.252188085,,,,
1.29,1.306101068,,,,
1.27,1.177752096,,,,
1.3,1.232882801,,,,
1.31,1.246555253,,,,
1.33,1.296572404,,,,
1.28,1.261586303,,,,
,,,,,
500,,,,,
1.832,2.988607703,,,,
1.79,2.979580507,,,,
1.814,3.01585875,,,,
1.988,2.927090023,,,,
1.982,3.051176167,,,,
1.994,3.026873635,,,,
2.014,2.980235561,,,,
2.02,2.943399395,,,,
2.06,2.982012743,,,,
2.058,3.013741197,,,,
,,,,,
1000,,,,,
1.183,1.45996952,,,,
1.193,1.491895104,,,,
1.24,1.395850995,,,,
1.244,1.461664804,,,,
1.247,1.40427597,,,,
1.238,1.409736146,,,,
1.238,1.371625313,,,,
1.299,1.487816857,,,,
1.291,1.486041386,,,,
1.282,1.42284082,,,,
,,,,,
2000,,,,,
1.8675,2.730557406,,,,
1.861,2.724275867,,,,
1.8625,2.71451538,,,,
1.8615,2.690598028,,,,
1.8555,2.696408676,,,,
1.866,2.729660052,,,,
1.8685,2.711126657,,,,
1.8635,2.72742878,,,,
1.867,2.723474068,,,,
1.861,2.7069686,,,,
