,,,,Promedio,Desviación
10,,,10,3.6,1.2
3.6,1.113552873,,30,4.275555556,0.638349679
3.7,0.9,,50,4.996666667,0.412727033
4,1,,100,2.781666667,0.228203859
3.7,1.004987562,,200,5.085166667,0.261612465
3.8,1.661324773,,500,5.119933333,0.212460675
4,2.898275349,,1000,2.575533333,0.051051556
3.5,1.962141687,,2000,2.522916667,0.070188159
3.7,2.451530134,,,,
3.9,3.014962686,,,,
4.4,3.8,,,,
4,2.607680962,,,,
4.3,3.226453161,,,,
4.5,3.5,,,,
4.9,2.87923601,,,,
4.7,3.436568055,,,,
,,,,,
30,,,,,
3.466666667,1.857118437,,,,
3.666666667,2.573367875,,,,
3.533333333,1.407914139,,,,
3.733333333,1.860704765,,,,
3.7,1.715614564,,,,
3.766666667,2.108448613,,,,
3.833333333,2.477678125,,,,
3.833333333,2.252159458,,,,
3.933333333,2.542090129,,,,
3.8,1.814754345,,,,
4.2,3.18747549,,,,
4.033333333,2.762647683,,,,
4.333333333,2.890597785,,,,
4.3,2.451530134,,,,
4.3,2.518597493,,,,
4.4,3.231098884,,,,
4.466666667,2.963481436,,,,
4.8,3.42928564,,,,
4.633333333,3.535376768,,,,
4.333333333,3.080404014,,,,
4.733333333,3.492213561,,,,
4.366666667,2.915285387,,,,
5,3.714835124,,,,
4.766666667,3.537261967,,,,
4.566666667,2.985334524,,,,
4.566666667,3.211264894,,,,
4.866666667,3.49030403,,,,
4.6,3.362538723,,,,
4.866666667,3.612324582,,,,
4.866666667,3.303869785,,,,
,,,,,
50,,,,,
4.46,2.586194115,,,,
4.4,2.8,,,,
4.48,2.64,,,,
4.46,2.570680844,,,,
4.56,2.994394764,,,,
4.62,2.958986313,,,,
4.54,2.920342446,,,,
4.88,3.368323025,,,,
4.88,3.415494108,,,,
4.84,3.164553681,,,,
4.94,3.158543968,,,,
4.84,3.189733531,,,,
4.98,3.379289866,,,,
4.94,3.640933946,,,,
5,3.676955262,,,,
5.18,3.664368977,,,,
5.12,3.819109844,,,,
5.24,3.712465488,,,,
5.24,3.619723746,,,,
5.24,3.455777771,,,,
5.28,3.826434372,,,,
5.24,3.829151342,,,,
5.34,3.69112449,,,,
5.26,3.724567089,,,,
5.26,3.637636595,,,,
5.36,3.691937161,,,,
5.32,3.770623291,,,,
5.34,3.855437718,,,,
5.38,3.923722722,,,,
5.28,3.888650151,,,,
,,,,,
100,,,,,
2.47,1.004539696,,,,
2.52,1.178812962,,,,
2.58,0.950578771,,,,
2.7,1.053565375,,,,
2.68,0.998799279,,,,
2.77,1.70795199,,,,
2.73,1.255826421,,,,
2.74,0.986103443,,,,
2.84,1.695405556,,,,
2.81,1.128671786,,,,
2.83,1.233328829,,,,
2.75,1.219631092,,,,
2.7,1.053565375,,,,
2.8,1.077032961,,,,
2.78,1.035181144,,,,
2.85,1.291317157,,,,
2.88,1.16,,,,
2.89,1.660692627,,,,
2.81,1.163572086,,,,
2.81,1.083466658,,,,
2.82,0.99378066,,,,
2.81,1.128671786,,,,
2.9,1.284523258,,,,
2.92,1.540649214,,,,
2.8,1.048808848,,,,
2.87,1.188738827,,,,
2.87,1.764397914,,,,
2.82,1.203162499,,,,
2.8,1.077032961,,,,
2.9,1.345362405,,,,
,,,,,
200,,,,,
4.535,3.557917228,,,,
4.56,3.383252873,,,,
4.88,3.62430683,,,,
4.855,3.481949885,,,,
4.885,3.572362664,,,,
4.975,3.961612677,,,,
4.98,3.725533519,,,,
5,3.84317577,,,,
4.995,3.809852359,,,,
5.095,3.91994579,,,,
5.06,3.791622344,,,,
5.11,3.793138542,,,,
5.105,4.030381496,,,,
5.175,3.964136098,,,,
5.135,3.989583312,,,,
5.135,3.916219478,,,,
5.18,4.049395017,,,,
5.175,3.948971385,,,,
5.19,4.118725531,,,,
5.18,4.205662849,,,,
5.2,4.044749683,,,,
5.175,4.018006346,,,,
5.19,4.225387556,,,,
5.245,4.174323298,,,,
5.235,4.228448297,,,,
5.255,4.291849834,,,,
5.25,4.146986858,,,,
5.26,4.328094269,,,,
5.275,4.275438574,,,,
5.265,4.448007981,,,,
,,,,,
500,,,,,
4.772,3.497429914,,,,
4.938,3.631825436,,,,
4.964,3.774480627,,,,
5.012,3.726641383,,,,
5.008,3.814175665,,,,
5.026,3.723617059,,,,
5.036,3.834410515,,,,
5.07,3.926970843,,,,
5.094,3.935627523,,,,
5.102,3.871381666,,,,
5.14,3.94263871,,,,
5.116,3.858826765,,,,
5.124,3.886466776,,,,
5.13,3.999137407,,,,
5.164,3.985110287,,,,
5.14,3.96792137,,,,
5.156,4.031831346,,,,
5.166,4.03415964,,,,
5.168,3.991963928,,,,
5.182,4.139671001,,,,
5.19,4.072087917,,,,
5.19,4.059297969,,,,
5.196,4.077938695,,,,
5.196,4.109693906,,,,
5.202,4.192516667,,,,
5.19,4.24804661,,,,
5.238,4.346188675,,,,
5.226,4.361986245,,,,
5.216,4.333283282,,,,
5.246,4.363196535,,,,
,,,,,
1000,,,,,
2.496,1.019796058,,,,
2.534,0.985314163,,,,
2.499,0.965400953,,,,
2.528,0.938731058,,,,
2.567,1.003748474,,,,
2.539,0.996232403,,,,
2.558,1.004308717,,,,
2.56,1.023914059,,,,
2.59,1.099954545,,,,
2.55,0.959947915,,,,
2.588,1.014029585,,,,
2.581,1.045676336,,,,
2.616,1.115591323,,,,
2.578,0.974636342,,,,
2.598,0.953098106,,,,
2.623,1.118423444,,,,
2.588,1.003123123,,,,
2.581,0.976442011,,,,
2.58,0.996794864,,,,
2.584,0.936452882,,,,
2.609,1.052672314,,,,
2.578,1.012875116,,,,
2.625,1.035555407,,,,
2.595,1.053078819,,,,
2.601,1.021664818,,,,
2.585,1.027995623,,,,
2.583,1.03397824,,,,
2.578,1.045904393,,,,
2.595,1.148466369,,,,
2.579,1.045829336,,,,
,,,,,
2000,,,,,
2.449,1.496128003,,,,
2.4845,1.349725805,,,,
2.4865,1.459732082,,,,
2.4845,1.362262732,,,,
2.513,1.294925094,,,,
2.511,1.418054653,,,,
2.494,1.367100582,,,,
2.53,1.477870089,,,,
2.515,1.48888381,,,,
2.5165,1.294499034,,,,
2.514,1.339702952,,,,
2.513,1.392419118,,,,
2.515,1.350101848,,,,
2.527,1.459202179,,,,
2.5395,1.454111327,,,,
2.529,1.266159153,,,,
2.548,1.410565844,,,,
2.5495,1.461694137,,,,
2.535,1.474033582,,,,
2.529,1.301214433,,,,
2.5505,1.47154672,,,,
2.5265,1.381773408,,,,
2.534,1.447012094,,,,
2.542,1.504073137,,,,
2.529,1.47789005,,,,
2.5515,1.456484724,,,,
2.5275,1.427320479,,,,
2.5585,1.519400457,,,,
2.539,1.347025983,,,,
2.546,1.462834235,,,,
,,,,,
100,,,,,
1.67,4.713926177,,6.082333333,,
4.09,12.82894774,,,,
4.3,11.01498979,,,,
4.75,11.26887306,,,,
5.12,11.51979166,,,,
5.33,13.96069841,,,,
5.98,17.68896831,,,,
5.73,12.96214103,,,,
5.79,14.28166307,,,,
5.75,12.77526908,,,,
5.97,13.63044753,,,,
5.96,14.08468672,,,,
5.96,13.10032061,,,,
6.32,17.43724749,,,,
6.49,12.72673957,,,,
6.46,15.40092205,,,,
6.41,14.13300746,,,,
